"","lsoa_code","lsoa_name","BAME_2011_perc","no_qualifications_perc","household_median_income","carownership_perc","la_code","la_name","food_pt","food_car","food_walk","avg_age","f_dairy","f_eggs","f_fats_oils","f_sweets","f_grains","f_sauces","f_fruit_veg","f_fish","f_meat_red","f_poultry","f_readymade","f_soft_drinks"
"1","E01000907","Camden 001A",26.5034965034965,20,30222.708218625,38.8,"E09000007","Camden",6.84931419739982,6.84931419739982,3.19759170755085,37.17700258,0.0938249713153228,0.0114738708667988,0.0311098362365703,0.132158130802128,0.141258996557839,0.0193751955773443,0.285282152915406,0.0211223531866069,0.0637321372692187,0.0314488369667258,0.0665745280066757,0.02584228642954
"2","E01000908","Camden 001B",27.5774826059456,15,32049.0450612253,40.5,"E09000007","Camden",6.15299882664451,6.15299882664451,4.9991052614804,39.20727483,0.126273541216425,0.0105885447040124,0.0250420225721244,0.133374498301945,0.130218517375047,0.0147050415651836,0.311081380856003,0.0175865893680034,0.0448240769327524,0.0173693298114416,0.0561330085874698,0.0229837741415389
"3","E01000909","Camden 001C",15.9231722428748,9.6,58468.9466297085,63.2,"E09000007","Camden",5.90773068768349,5.90773068768349,4.00326777933484,42.01895462,0.132205824873499,0.0111870530196592,0.0277299472866907,0.137593357489199,0.10659919926476,0.0105532256531063,0.344516865089845,0.021845916567191,0.0423396680857357,0.0175464542640736,0.0500617981682389,0.0153280584811383
"4","E01000912","Camden 001D",22.6557583385777,18,31551.2065732291,39.4,"E09000007","Camden",7.40160001952112,7.40160001952112,8.14705719921366,38.20938023,0.106592186070822,0.0107800862406899,0.0255455376976349,0.133575068600549,0.159937279498236,0.0203514961453025,0.304455768979485,0.0167254671370704,0.0524957532993597,0.0216581732653861,0.0499150659871946,0.025578204625637
"5","E01000913","Camden 001E",11.812865497076,4.9,73024.4519609056,77.7,"E09000007","Camden",6.52383656106028,6.52383656106028,6.40434898301314,43.14108108,0.127803157810371,0.011044321551655,0.0350965777029735,0.143560150677246,0.0988458764125992,0.01178167828805,0.359693836659453,0.0228500440811092,0.0548609441372125,0.019235393123347,0.0385188747295023,0.0105554219764366
"6","E01000893","Camden 002A",11.8773946360153,3.7,64137.589172636,56.2,"E09000007","Camden",7.43861540748976,7.43861540748976,7.11325869034985,41.18232386,0.106114398422091,0.0137503522118907,0.0381515919977458,0.118230487461257,0.13767258382643,0.0147083685545224,0.354522400676247,0.0247393632009017,0.0320090166244012,0.0137503522118907,0.0516765285996055,0.00952380952380952
"7","E01000894","Camden 002B",15.7667386609071,3,72739.2016298503,61.4,"E09000007","Camden",7.13332791485664,7.13332791485664,6.35185788460661,38.79463087,0.130265816881704,0.0111145655215296,0.0323591895953158,0.122027048033577,0.101974195554174,0.0116197730452355,0.385952640033162,0.02849888595264,0.0476449556971864,0.016658894243225,0.0430592258666252,0.0133426602414633
"8","E01000895","Camden 002C",20.1840490797546,9.5,53603.2201720623,44.7,"E09000007","Camden",6.60306770896996,6.60306770896996,3.84903689589454,41.14740369,0.137130254281266,0.0149779449922159,0.0296769590036326,0.140172548002076,0.114335755059678,0.0115723923196679,0.327374156720291,0.025019460300986,0.0445511157239232,0.0173845355474831,0.0495783601453036,0.014686040477426
"9","E01000896","Camden 002D",15.1891252955083,4.7,70351.0862545101,60.3,"E09000007","Camden",7.3601058612197,7.3601058612197,6.7030158366719,40.2621822,0.124849176585684,0.0109245067666721,0.0333115930213599,0.138317299853253,0.113533344203489,0.0112506114462743,0.362628403717593,0.0359693461601174,0.0332626773194195,0.0143159954345345,0.039246698190119,0.017120495679113
"10","E01000899","Camden 002E",12.8974205158968,6.2,76165.9527373574,74.1,"E09000007","Camden",7.79459877616748,7.79459877616748,8.42292273383101,40.74549201,0.126285611897509,0.0137251388640029,0.0307561368930299,0.120256226482709,0.105285791076868,0.0115929044974019,0.375228453682136,0.0307382189571761,0.0481992474466941,0.0184106790897689,0.045404049453503,0.010051962013976
"11","E01000910","Camden 003A",15.8288043478261,6.9,64960.8068885446,61.9,"E09000007","Camden",6.84683664976646,6.84683664976646,7.87278911726099,39.84210526,0.143369971503645,0.0121387069316457,0.0319011139484105,0.137781725324747,0.119832722697161,0.0113985418748381,0.303837755819548,0.0233151992894415,0.0473335553828504,0.017467895340661,0.0642463269309056,0.01062136856519
"12","E01000911","Camden 003B",22.0012828736369,15.5,37175.5162793814,49.6,"E09000007","Camden",6.60607838655466,6.60607838655466,6.71760172764853,38.80069525,0.106172535500287,0.0132972174341295,0.0326684724616269,0.128457686940819,0.137404580152672,0.0173192153000082,0.279528851678569,0.0185914799310515,0.0703028810637774,0.0197406221784454,0.0591397849462366,0.0222030698514323
"13","E01000921","Camden 003C",23.6012207527976,9.2,35597.3364565208,29.3,"E09000007","Camden",5.62590910326656,5.62590910326656,1.71938687325377,34.33756012,0.0967870344043219,0.0100085299971567,0.023713392095536,0.157520614159795,0.152061415979528,0.0162069945976685,0.277907307364231,0.0175717941427353,0.0531703156098948,0.0172305942564686,0.0762581745806085,0.026613591128803
"14","E01000923","Camden 003D",20.8835341365462,13.9,45321.9579578409,46.2,"E09000007","Camden",6.75596039272143,6.75596039272143,4.65699693339768,38.95644172,0.092944369063772,0.0110809588421529,0.0223126790290969,0.140811096034977,0.134403738881351,0.0126639529624604,0.320292477008895,0.021558872305141,0.0352027740087442,0.0165837479270315,0.0731192522237298,0.0357304387155133
"15","E01000928","Camden 003E",25.4610350981559,17.2,35656.2837601935,44.1,"E09000007","Camden",6.14976535411872,6.14976535411872,4.86766862427672,36.93333333,0.0998106857383256,0.0125157761884729,0.0270298695835086,0.129575094657131,0.128733697938578,0.0116217921750105,0.339450988641144,0.022665124106016,0.0448043752629365,0.0206142196045435,0.0631573411863694,0.0180374421539756
"16","E01000878","Camden 004A",31.5270935960591,7.7,56251.2209486367,65.8,"E09000007","Camden",6.90852721905531,6.90852721905531,6.52178190337725,32.99831081,0.115951494836468,0.0117196164937273,0.0291942917703892,0.136827446824243,0.117442634264166,0.0109555615803613,0.373092943583171,0.0265817169053311,0.0420353437014764,0.019347842161043,0.0446479185665344,0.0169940600892219
